id,age,age_cat,age_z
1,47,adulto,1.429203081953555
2,48,adulto,1.523643814241235
3,33,adulto,0.10703282992603713
4,34,adulto,0.20147356221371698
5,43,adulto,1.0514401528028356
6,49,adulto,1.6180845465289149
7,22,giovane,-0.9318152252384413
8,28,giovane,-0.3651708315123622
9,37,adulto,0.48479575907675654
10,40,adulto,0.7681179559397961
11,18,adolescente,-1.3095781543891607
12,21,giovane,-1.0262559575261212
13,46,adulto,1.3347623496658754
14,24,giovane,-0.7429337606630816
15,39,adulto,0.6736772236521162
16,36,adulto,0.3903550267890767
17,29,giovane,-0.2707300992246823
18,16,adolescente,-1.4984596189645205
19,15,adolescente,-1.5929003512522002
20,26,giovane,-0.5540522960877219
21,35,adulto,0.29591429450139684
22,27,giovane,-0.45961156380004203
23,41,adulto,0.862558688227476
24,30,giovane,-0.17628936693700245
25,23,giovane,-0.8373744929507615
26,32,adulto,0.01259209763835727
27,31,adulto,-0.08184863464932259
28,50,adulto,1.7125252788165948
29,19,adolescente,-1.2151374221014808
30,17,adolescente,-1.4040188866768406
